q,distribution,aic,bic,loglik
14,student_t,11112.664195873782,11214.744163109595,-5540.332097936891
13,student_t,11114.587930962802,11210.287900246378,-5542.293965481401
15,student_t,11114.620827210056,11223.080792398108,-5540.310413605028
11,student_t,11116.458295721925,11199.398269101024,-5545.229147860962
16,student_t,11116.620826410557,11231.460789550849,-5540.310413205279
18,student_t,11116.720984469057,11244.320943513825,-5538.3604922345285
19,student_t,11117.497642744056,11251.477599741062,-5537.748821372028
20,student_t,11117.712261339244,11258.072216288489,-5536.856130669622
17,student_t,11118.315257175036,11239.535218267565,-5540.157628587518
12,student_t,11118.458295040387,11207.778266371724,-5545.229147520194
21,student_t,11119.69134289087,11266.431295792354,-5536.845671445435
10,student_t,11120.374706258275,11196.934681685136,-5548.187353129138
22,student_t,11121.211697851239,11274.33164870496,-5536.605848925619
23,student_t,11121.287897140424,11280.787845946385,-5535.643948570212
24,student_t,11123.287896975293,11289.16784373349,-5535.643948487646
25,student_t,11125.1424101804,11297.402354890837,-5535.5712050902
26,student_t,11127.142409932789,11305.782352595465,-5535.571204966394
27,student_t,11128.150066982875,11313.170007597788,-5535.075033491437
30,student_t,11129.833371288692,11333.993305760321,-5532.916685644346
28,student_t,11130.009762123307,11321.40970069046,-5535.004881061654
29,student_t,11131.93521853372,11329.715155053109,-5534.96760926686
9,student_t,11144.685630300262,11214.865607774886,-5561.342815150131
8,student_t,11167.810394007109,11231.610373529493,-5573.905197003554
7,student_t,11174.217152221265,11231.63713379141,-5578.108576110632
6,student_t,11194.214330830891,11245.254314448799,-5589.107165415446
5,student_t,11241.828169900518,11286.488155566187,-5613.914084950259
4,student_t,11281.472424031735,11319.752411745167,-5634.736212015868
14,normal,11336.394884006539,11432.094853290115,-5653.197442003269
15,normal,11338.381924271453,11440.461891507266,-5653.190962135726
19,normal,11339.80969763737,11467.409656682139,-5649.904848818685
18,normal,11340.357647596416,11461.577608688945,-5651.178823798208
16,normal,11340.3751491975,11448.835114385553,-5653.18757459875
20,normal,11341.598314464583,11475.578271461589,-5649.799157232292
17,normal,11342.043212815139,11456.88317595543,-5653.021606407569
13,normal,11342.100152727638,11431.420124058975,-5657.050076363819
11,normal,11342.106332964811,11418.666308391672,-5659.053166482406
23,normal,11342.615631058987,11495.735581912708,-5647.307815529493
21,normal,11343.598314587522,11483.958269536766,-5649.799157293761
12,normal,11344.106333132218,11427.046306511318,-5659.053166566109
24,normal,11344.581230859323,11504.081179665283,-5647.290615429662
10,normal,11344.985591491662,11415.165568966284,-5661.492795745831
22,normal,11345.043325380135,11491.783278281619,-5649.521662690067
25,normal,11346.391845015303,11512.2717917735,-5647.195922507652
26,normal,11348.391844545551,11520.651789255988,-5647.1959222727755
27,normal,11350.299149565359,11528.939092228034,-5647.149574782679
30,normal,11351.732702917941,11549.512639437331,-5644.866351458971
28,normal,11352.250541852625,11537.270482467538,-5647.125270926313
29,normal,11353.883539790895,11545.283478358047,-5646.941769895448
3,student_t,11380.71606721014,11412.616056971332,-5685.35803360507
9,normal,11382.495430402978,11446.295409925362,-5681.247715201489
8,normal,11413.056368240384,11470.47634981053,-5697.528184120192
7,normal,11423.297121815089,11474.337105432996,-5703.648560907544
6,normal,11461.771071535488,11506.431057201156,-5723.885535767744
5,normal,11527.127422713029,11565.40741042646,-5757.563711356514
2,student_t,11533.515241732837,11559.03523354179,-5762.757620866419
4,normal,11600.047389145482,11631.947378906674,-5795.023694572741
3,normal,11820.522904643864,11846.042896452816,-5906.261452321932
1,student_t,11871.860601350952,11891.000595207668,-5932.930300675476
2,normal,12057.137076853911,12076.277070710627,-6025.5685384269555
1,normal,12882.20723050855,12894.967226413026,-6439.103615254275
