,RF_MDI,RF_Permutation,Mutual_Info,RF_MDI_Norm,RF_Permutation_Norm,Mutual_Info_Norm,Score_Avg
NFCI,0.035396970707916336,7.19238707669745,0.5316263094773941,0.24531118907398988,1.0,0.6191345685075456,0.6214819191938451
Open,0.12385301850735521,0.5063841495264099,0.4240067913386465,0.8595406349426671,0.07040804805423383,0.49007143916552776,0.47334004072080954
rsp,0.10788323264747943,0.27734176361632723,0.45936819116657635,0.7486481299825352,0.038563018831885364,0.5324787366394209,0.4398966284846138
High,0.10606780070629572,0.33289192004945206,0.45925994277164595,0.7360419624791682,0.04628646420157061,0.5323489193271194,0.43822578200261936
Anchored_VWAP,0.013588095796174728,0.0011100191175076768,0.8492116215792285,0.09387266694567795,0.0001569921885959692,1.0,0.364676553044758
Scaled_HMA50,0.14408076954234325,0.32067994772533204,0.03342534262671126,1.0,0.04458856617287655,0.021665104464131602,0.3554178902123361
Scaled_Lower_Keltner,0.1238039952663776,0.24648579930828488,0.06139571960216461,0.8592002227392117,0.03427294352041396,0.05520868878564696,0.3162272850150909
Low,0.05233842417713484,0.05958467821487319,0.4397697477435738,0.362950851205425,0.008287047332422066,0.5089752264755477,0.2934043750044649
STLFSI4,0.00476906323352179,0.000406064647791371,0.48273202402573734,0.0326342370269212,5.911750671014909e-05,0.5604979048570261,0.1977304197968858
Stoch_K,0.08056789357479997,0.09659419915404091,0.015359857040376568,0.5589733027692696,0.013432685643558049,0.0,0.1908019961376092
OBV,0.02412338645475847,0.001684086456074596,0.3014537043555183,0.16702861166931723,0.00023680794452961623,0.34309916879933844,0.17012152947106177
iwm,0.0018700658576033557,0.0005147088455037197,0.3986417679534595,0.012503905680640717,7.422291018052067e-05,0.4596523353584923,0.15741015464977118
tlt,0.0028859453382234757,6.733607648163886e-05,0.32601531857858923,0.019558065412776233,1.2022200708414326e-05,0.37255478101676215,0.1307082895434156
BAMLH0A0HYM2,0.020461020071708066,0.002191230047813131,0.20416664935398732,0.14159752662774258,0.00030731892193962523,0.22642728641106524,0.12277737732024914
T10Y2Y,0.002526851449851438,2.849951347458912e-05,0.25826261881316004,0.017064555409144973,6.622538637392242e-06,0.29130209001490437,0.10279108932089558
oil,0.01072656191261391,0.00036798183927755357,0.20479876180622014,0.07400247813033327,5.382264329361222e-05,0.22718534974931626,0.10041388350764772
BAMLC4A0C710YEY,0.00317411894312154,0.00026550500155827497,0.24821891773165827,0.02155911246443571,3.957472198063121e-05,0.2792571420893504,0.10028527642525557
gold,0.006277503501142109,0.00020013211623525206,0.22784656243153023,0.04310868679893899,3.0485568306349402e-05,0.25482551507061446,0.0993215624792866
EFFR,0.0009007407246194547,8.408479908106337e-05,0.25713391908399874,0.005773014417566896,1.4350868210267323e-05,0.28994849243658,0.09857861924078572
BAA10Y,0.0044338513020296165,0.0001329336406337367,0.2151076844648463,0.03030656080747436,2.1142592722486847e-05,0.23954836569175697,0.08995868969731795
dxy,0.003645913613597413,0.00022864287132932093,0.2015873927288414,0.02483520478620943,3.444957621481695e-05,0.2233341027843899,0.08273458571560471
Volume,0.027962841081258946,0.0028414295056175655,0.04177437644130233,0.19368937875468858,0.0003977197473233861,0.03167771602130492,0.07525493817443897
T10Y3M,0.0028670115501358336,3.5506765949544496e-06,0.18657662995449797,0.019426591189649782,3.1537639110956243e-06,0.2053323866368623,0.07492071053014106
tnx,0.0010843695602098843,-1.0649200568768614e-05,0.1895715922681509,0.007048113641827462,1.1794764819992374e-06,0.208924106941381,0.07199113335323015
Scaled_Lower_Bollinger,0.023064519488432706,0.01662194259489965,0.05138443805124204,0.1596759513803387,0.002313700670607269,0.043202620109328765,0.0683974240534249
Norm_ATR,0.016265277269964046,0.0010793177337066417,0.07992784439766343,0.11246273211413252,0.00015272360546701803,0.07743341215209291,0.06334962262389748
Scaled_EMA200,0.0012781068642966859,0.00010693301357624918,0.16073937269872118,0.00839340500283356,1.752758179271891e-05,0.17434695450784873,0.06091929569749167
T5YIE,0.002923288333041497,1.1134292804726443e-05,0.1357082282947344,0.01981737122153401,4.208156000366266e-06,0.14432825637889551,0.054716611918809964
Scaled_HMA200,0.012499929831766286,0.0002010206662006353,0.07199628315290951,0.08631655751099901,3.0609108320573036e-05,0.06792145621212997,0.051422874277149845
RSI,0.01582599858931048,0.008331077400496923,0.050454366621863755,0.10941242738865421,0.0011609758448278317,0.04208722829877998,0.050886877177420665
Scaled_SMA200,0.002505326235308787,7.999703624654853e-05,0.12474693895485434,0.01691508659463594,1.3782523943323389e-05,0.13118288713458862,0.04937058541772263
Momentum_100p,0.002211201907050752,0.00027688319916262526,0.10165700592027083,0.014872718348972856,4.115669570033581e-05,0.1034921943561749,0.039468689800282696
Scaled_EMA50,0.002823157169563611,0.00020936227425762954,0.08048418591483308,0.01912207100648644,3.176888820708122e-05,0.07810060689920403,0.032418148931299184
Scaled_SMA50,0.0006956218024025264,0.00012703192285208332,0.08421829626798694,0.004348690303333936,2.0322044270408695e-05,0.08257875338992825,0.02898258857917753
Momentum_20p,0.004952457927934781,0.00019865364167034327,0.048342814397870804,0.033907710399595004,3.0280007813530826e-05,0.03955494101009059,0.024497643805833042
Scaled_Upper_Bollinger,0.002253371038412839,1.7035011633736995e-05,0.06313834616360303,0.01516553633975655,5.028565562535566e-06,0.05729854052614445,0.02415636847715451
vix,0.0007969474371036646,0.0004131838893764783,0.06478181176626574,0.005052284800296832,6.0107334227959286e-05,0.05926947309780076,0.021460621744108514
WilliamsR,0.003538239463240738,0.00010454976945856176,0.043097464315575706,0.024087526867590272,1.7196226186767703e-05,0.033264434345280744,0.019123052479685928
Scaled_Upper_Keltner,6.936078557249753e-05,3.099430108373102e-05,0.05664821513576612,0.0,6.969402751652149e-06,0.04951522542885474,0.016507398277202132
ILV,0.002760848890266203,2.5062507105511057e-05,0.028098196571029632,0.018689408901203904,6.14467263968273e-06,0.01527650365733506,0.011324019077059549
Stoch_D,0.00024690144605952216,-1.9132474541472265e-05,0.017565434575627314,0.001232823579879587,0.0,0.002645047512096476,0.0012926236973253543
